pethidine|drug
klonopin|drug
vehicular-impact|vehicle
xanax|drug
drowning|drown
weed|drug
hemp|drug
slash|cut
suv|vehicle
tear|cut
behead|cut
Vincent's_angina|disease
methadone|drug
ocd|disease
aircraft|vehicle
indisposition|disease
influenza|disease
ambien|drug
grippe|disease
drink|alcohol
carbon monoxide|carbon monoxide
venom|drug
slice|cut
jerk|hang
sickness|disease
swinging|hang
trench_mouth|disease
aeroplane|vehicle
oxycodone|drug
metro|vehicle
handgun|gun
STD|disease
plague|disease
electrocution|electrocute
meth|drug
sedative|drug
gun|gun
pox|disease
blight|disease
wrist-cutting|cut
toxin|drug
slit|cut
noose|hang
benzodiazepine|drug
sexually_transmitted_disease|disease
measles|disease
asprin|drug
rubeola|disease
train|vehicle
venereal_infection|disease
rip|cut
vehicle|vehicle
methamphetamine|drug
malady|disease
anaesthetic|drug
cannabis|drug
opiate|drug
communicable_disease|disease
ordnance|gun
autosacrifice|bleed
narcotic|drug
hashish|drug
pot|drug
hung|hang
strangle|hang
strangulation|hang
illness|disease
strand|hang
immolation|cut
overdrug|drug
hang|hang
suffocate|hang
bleeding|bleed
carbon-monoxide|carbon monoxide
twine|hang
belt|hang
bind|hang
ritual-suicide|ritual
drank|alcohol
cut|cut
drown|drown
horse|drug
split|cut
plane|vehicle
heroin|drug
speed|vehicle
liquor|alcohol
incision|cut
flood|drown
railroad|vehicle
gash|cut
tie_up|hang
demerol|drug
cord|hang
medicine|drug
infection|disease
bind_off|hang
restrain|hang
hemorrhage|bleed
medication|drug
arsenic|drug
dope|drug
sominex|drug
cleave|cut
tie|hang
disease|disease
benadryl|drug
shotgun|gun
ethanol|drug
morbilli|disease
temaze|drug
blood|bleed
car|vehicle
scarlatina|disease
grass|drug
ganja|drug
hypothermia|hypothermia
rifle|gun
hanging|hang
jump|jump
rope|hang
epidemic|disease
cable|hang
cocaine|drug
intoxicant|drug
pistol|gun
pesticide|drug
guillotine|cut
cyanure|drug
marijuana|drug
hooch|alcohol
disorder|disease
electrocute|electrocute
bacteria|disease
Vincent's_infection|disease
virus|disease
contagious_disease|disease
canker|disease
social_disease|disease
cleft|cut
nytol|drug
flu|disease
seppuku|ritual
jumping|jump
drug-overdose|drug
infect|disease
tylenol|drug
starvation|starve
ativan|drug
underwater|drown
blood-letting|bleed
railway|vehicle
dosage|drug
track|vehicle
chain_up|hang
monoxide|carbon monoxide
cannabis sativa|drug
alcohol|alcohol
contagion|disease
venereal_disease|disease
firearm|gun
resvehicle|vehicle
miasma|drug
hash|drug
meperidine|drug
plant|hang
dangling|hang
booze|alcohol
germ|disease
ecstacy|drug
Cupid's_disease|disease
lasso|hang
tie_down|hang
knot|hang
pendent|hang
jump over|jump
drug|drug
metro-systems|vehicle
vicodin|drug
valium|drug
dose|drug
coke|drug
od|drug
ptsd|disease
VD|disease
hawser|hang
overhanging|hang
phenol|alcohol
poison|drug
decapitate|cut
pierce|cut
helium|drug
drinking|alcohol
shooter|gun
whiskey|alcohol
drunk|alcohol
diphtheria|disease
dextromethorphan|drug
scarlet_fever|disease
Venus's_curse|disease
pill|drug
leap|jump
traffic-collisions|vehicle
jumping-from-height|jump
leap over|jump
anaesthetise|drug
airplane|vehicle
revolver|gun
suffocation|suffocate
envenom|drug
famine|starve
jumped|jump
swing|hang
overdose|drug
starve|starve
Cupid's_itch|disease
stimulant|drug
bleed|bleed
